"('2021-08-23', 'Monday')","('2021-08-24', 'Tuesday')","('2021-08-25', 'Wednesday')","('2021-08-26', 'Thursday')","('2021-08-27', 'Friday')","('2022-08-22', 'Monday')","('2022-08-23', 'Tuesday')","('2022-08-24', 'Wednesday')","('2022-08-25', 'Thursday')","('2022-08-26', 'Friday')","('2023-08-21', 'Monday')","('2023-08-22', 'Tuesday')","('2023-08-23', 'Wednesday')","('2023-08-24', 'Thursday')","('2023-08-25', 'Friday')","('2024-08-19', 'Monday')","('2024-08-20', 'Tuesday')","('2024-08-21', 'Wednesday')","('2024-08-22', 'Thursday')","('2024-08-23', 'Friday')"
"('2021-08-30', 'Monday')","('2021-08-31', 'Tuesday')","('2021-09-01', 'Wednesday')","('2021-09-02', 'Thursday')","('2021-09-03', 'Friday')","('2022-08-29', 'Monday')","('2022-08-30', 'Tuesday')","('2022-08-31', 'Wednesday')","('2022-09-01', 'Thursday')","('2022-09-02', 'Friday')","('2023-08-28', 'Monday')","('2023-08-29', 'Tuesday')","('2023-08-30', 'Wednesday')","('2023-08-31', 'Thursday')","('2023-09-01', 'Friday')","('2024-08-26', 'Monday')",,,,
"('2021-09-06', 'Monday')","('2021-09-07', 'Tuesday')","('2021-09-08', 'Wednesday')","('2021-09-09', 'Thursday')","('2021-09-10', 'Friday')","('2022-09-05', 'Monday')","('2022-09-06', 'Tuesday')","('2022-09-07', 'Wednesday')","('2022-09-08', 'Thursday')","('2023-09-04', 'Monday')","('2023-09-05', 'Tuesday')","('2023-09-06', 'Wednesday')","('2023-09-07', 'Thursday')","('2023-09-08', 'Friday')",,,,,,
"('2021-09-13', 'Monday')","('2021-09-14', 'Tuesday')","('2021-09-15', 'Wednesday')","('2021-09-16', 'Thursday')","('2021-09-17', 'Friday')","('2022-09-12', 'Monday')","('2022-09-13', 'Tuesday')","('2022-09-14', 'Wednesday')","('2022-09-15', 'Thursday')","('2022-09-16', 'Friday')","('2023-09-11', 'Monday')","('2023-09-12', 'Tuesday')","('2023-09-13', 'Wednesday')","('2023-09-14', 'Thursday')","('2023-09-15', 'Friday')",,,,,
"('2021-09-22', 'Wednesday')","('2021-09-23', 'Thursday')","('2021-09-24', 'Friday')","('2022-09-19', 'Monday')","('2022-09-20', 'Tuesday')","('2022-09-21', 'Wednesday')","('2022-09-22', 'Thursday')","('2022-09-23', 'Friday')","('2023-09-18', 'Monday')","('2023-09-19', 'Tuesday')","('2023-09-20', 'Wednesday')","('2023-09-21', 'Thursday')","('2023-09-22', 'Friday')",,,,,,,
"('2021-09-27', 'Monday')","('2021-09-28', 'Tuesday')","('2021-09-29', 'Wednesday')","('2021-09-30', 'Thursday')","('2021-10-01', 'Friday')","('2022-09-26', 'Monday')","('2022-09-27', 'Tuesday')","('2022-09-28', 'Wednesday')","('2022-09-29', 'Thursday')","('2022-09-30', 'Friday')","('2023-09-25', 'Monday')","('2023-09-26', 'Tuesday')","('2023-09-27', 'Wednesday')","('2023-09-28', 'Thursday')",,,,,,
"('2021-10-04', 'Monday')","('2021-10-05', 'Tuesday')","('2021-10-06', 'Wednesday')","('2021-10-07', 'Thursday')","('2021-10-08', 'Friday')","('2022-10-03', 'Monday')","('2022-10-04', 'Tuesday')","('2022-10-05', 'Wednesday')","('2022-10-06', 'Thursday')","('2022-10-07', 'Friday')","('2023-10-02', 'Monday')","('2023-10-03', 'Tuesday')","('2023-10-04', 'Wednesday')","('2023-10-05', 'Thursday')","('2023-10-06', 'Friday')",,,,,
"('2021-10-12', 'Tuesday')","('2021-10-13', 'Wednesday')","('2021-10-14', 'Thursday')","('2021-10-15', 'Friday')","('2022-10-11', 'Tuesday')","('2022-10-12', 'Wednesday')","('2022-10-13', 'Thursday')","('2022-10-14', 'Friday')","('2023-10-11', 'Wednesday')","('2023-10-12', 'Thursday')","('2023-10-13', 'Friday')",,,,,,,,,
"('2021-10-18', 'Monday')","('2021-10-19', 'Tuesday')","('2021-10-20', 'Wednesday')","('2021-10-21', 'Thursday')","('2021-10-22', 'Friday')","('2022-10-17', 'Monday')","('2022-10-18', 'Tuesday')","('2022-10-19', 'Wednesday')","('2022-10-20', 'Thursday')","('2022-10-21', 'Friday')","('2023-10-16', 'Monday')","('2023-10-17', 'Tuesday')","('2023-10-18', 'Wednesday')","('2023-10-19', 'Thursday')","('2023-10-20', 'Friday')",,,,,
"('2021-10-25', 'Monday')","('2021-10-26', 'Tuesday')","('2021-10-27', 'Wednesday')","('2021-10-28', 'Thursday')","('2021-10-29', 'Friday')","('2022-10-24', 'Monday')","('2022-10-25', 'Tuesday')","('2022-10-26', 'Wednesday')","('2022-10-27', 'Thursday')","('2022-10-28', 'Friday')","('2023-10-23', 'Monday')","('2023-10-24', 'Tuesday')","('2023-10-25', 'Wednesday')","('2023-10-26', 'Thursday')","('2023-10-27', 'Friday')",,,,,
"('2021-11-01', 'Monday')","('2021-11-02', 'Tuesday')","('2021-11-03', 'Wednesday')","('2021-11-04', 'Thursday')","('2021-11-05', 'Friday')","('2022-10-31', 'Monday')","('2022-11-01', 'Tuesday')","('2022-11-02', 'Wednesday')","('2022-11-03', 'Thursday')","('2022-11-04', 'Friday')","('2023-10-30', 'Monday')","('2023-10-31', 'Tuesday')","('2023-11-01', 'Wednesday')","('2023-11-02', 'Thursday')","('2023-11-03', 'Friday')",,,,,
"('2021-11-08', 'Monday')","('2021-11-09', 'Tuesday')","('2021-11-10', 'Wednesday')","('2021-11-11', 'Thursday')","('2021-11-12', 'Friday')","('2022-11-07', 'Monday')","('2022-11-08', 'Tuesday')","('2022-11-09', 'Wednesday')","('2022-11-10', 'Thursday')","('2022-11-11', 'Friday')","('2023-11-06', 'Monday')","('2023-11-07', 'Tuesday')","('2023-11-08', 'Wednesday')","('2023-11-09', 'Thursday')","('2023-11-10', 'Friday')",,,,,
"('2021-11-15', 'Monday')","('2021-11-16', 'Tuesday')","('2021-11-17', 'Wednesday')","('2021-11-18', 'Thursday')","('2021-11-19', 'Friday')","('2022-11-14', 'Monday')","('2022-11-15', 'Tuesday')","('2022-11-16', 'Wednesday')","('2022-11-17', 'Thursday')","('2022-11-18', 'Friday')","('2023-11-13', 'Monday')","('2023-11-14', 'Tuesday')","('2023-11-15', 'Wednesday')","('2023-11-16', 'Thursday')","('2023-11-17', 'Friday')",,,,,
"('2021-11-22', 'Monday')","('2021-11-23', 'Tuesday')","('2021-11-24', 'Wednesday')","('2021-11-25', 'Thursday')","('2021-11-26', 'Friday')","('2022-11-21', 'Monday')","('2022-11-22', 'Tuesday')","('2022-11-23', 'Wednesday')","('2022-11-24', 'Thursday')","('2022-11-25', 'Friday')","('2023-11-20', 'Monday')","('2023-11-21', 'Tuesday')","('2023-11-22', 'Wednesday')","('2023-11-23', 'Thursday')","('2023-11-24', 'Friday')",,,,,
"('2021-11-29', 'Monday')","('2021-11-30', 'Tuesday')","('2021-12-01', 'Wednesday')","('2021-12-02', 'Thursday')","('2021-12-03', 'Friday')","('2022-11-28', 'Monday')","('2022-11-29', 'Tuesday')","('2022-11-30', 'Wednesday')","('2022-12-01', 'Thursday')","('2022-12-02', 'Friday')","('2023-11-27', 'Monday')","('2023-11-28', 'Tuesday')","('2023-11-29', 'Wednesday')","('2023-11-30', 'Thursday')","('2023-12-01', 'Friday')",,,,,
"('2021-12-06', 'Monday')","('2021-12-07', 'Tuesday')","('2021-12-08', 'Wednesday')","('2021-12-09', 'Thursday')","('2021-12-10', 'Friday')","('2022-12-05', 'Monday')","('2022-12-06', 'Tuesday')","('2022-12-07', 'Wednesday')","('2022-12-08', 'Thursday')","('2022-12-09', 'Friday')","('2023-12-04', 'Monday')","('2023-12-05', 'Tuesday')","('2023-12-06', 'Wednesday')","('2023-12-07', 'Thursday')","('2023-12-08', 'Friday')",,,,,
"('2021-12-13', 'Monday')","('2021-12-14', 'Tuesday')","('2021-12-15', 'Wednesday')","('2021-12-16', 'Thursday')","('2021-12-17', 'Friday')","('2022-12-12', 'Monday')","('2022-12-13', 'Tuesday')","('2022-12-14', 'Wednesday')","('2022-12-15', 'Thursday')","('2022-12-16', 'Friday')","('2023-12-11', 'Monday')","('2023-12-12', 'Tuesday')","('2023-12-13', 'Wednesday')","('2023-12-14', 'Thursday')","('2023-12-15', 'Friday')",,,,,
"('2021-12-20', 'Monday')","('2021-12-21', 'Tuesday')","('2021-12-22', 'Wednesday')","('2021-12-23', 'Thursday')","('2021-12-24', 'Friday')","('2022-12-19', 'Monday')","('2022-12-20', 'Tuesday')","('2022-12-21', 'Wednesday')","('2022-12-22', 'Thursday')","('2022-12-23', 'Friday')","('2023-12-18', 'Monday')","('2023-12-19', 'Tuesday')","('2023-12-20', 'Wednesday')","('2023-12-21', 'Thursday')","('2023-12-22', 'Friday')",,,,,
"('2021-12-27', 'Monday')","('2021-12-28', 'Tuesday')","('2021-12-29', 'Wednesday')","('2021-12-30', 'Thursday')","('2022-12-26', 'Monday')","('2022-12-27', 'Tuesday')","('2022-12-28', 'Wednesday')","('2022-12-29', 'Thursday')","('2022-12-30', 'Friday')","('2023-12-25', 'Monday')","('2023-12-26', 'Tuesday')","('2023-12-27', 'Wednesday')","('2023-12-28', 'Thursday')","('2023-12-29', 'Friday')",,,,,,
