date,volume,open,high,low,close
2022-05-17,842000,17.15,17.25,16.9,17.15
2022-05-18,440000,17.25,17.4,17.15,17.25
2022-05-19,817000,16.6,16.9,16.2,16.9
2022-05-20,362000,17.0,17.25,16.95,17.1
2022-05-23,423000,17.2,17.4,17.15,17.25
2022-05-24,461000,17.35,17.45,17.05,17.15
2022-05-25,349000,17.15,17.3,16.9,17.15
2022-05-26,558000,17.25,17.3,16.85,16.85
2022-05-27,212000,17.2,17.2,17.0,17.05
2022-05-30,360000,17.25,17.3,17.15,17.25
2022-05-31,399000,17.15,17.3,17.0,17.0
2022-06-01,482000,16.95,17.1,16.9,17.0
2022-06-02,337000,16.95,17.05,16.85,16.9
2022-06-06,330000,16.9,17.1,16.75,16.95
2022-06-07,311000,17.0,17.15,17.0,17.0
2022-06-08,372000,17.05,17.15,16.9,17.0
2022-06-09,444000,17.0,17.0,16.85,16.85
2022-06-10,420000,16.85,16.95,16.7,16.85
2022-06-13,666000,16.75,16.75,16.35,16.4
2022-06-14,889000,16.25,16.3,15.7,16.1
2022-06-15,631000,16.25,16.45,16.05,16.1
2022-06-16,674000,16.2,16.25,15.6,15.7
2022-06-17,583000,15.65,15.65,15.1,15.4
2022-06-20,1118000,15.3,15.45,14.25,14.25
2022-06-21,834000,14.6,14.8,14.4,14.75
2022-06-22,971000,14.75,14.9,14.0,14.1
2022-06-23,886000,14.3,14.5,14.0,14.05
2022-06-24,850000,13.0,13.15,12.9,13.15
2022-06-27,456000,13.3,13.55,13.3,13.5
2022-06-28,439000,13.6,13.6,13.2,13.4
2022-06-29,259000,13.4,13.4,13.15,13.3
2022-06-30,671000,13.4,13.4,12.9,12.95
2022-07-01,846000,12.9,13.0,12.15,12.2
2022-07-04,798000,12.2,12.6,12.2,12.35
2022-07-05,237000,12.4,12.65,12.35,12.6
2022-07-06,389000,12.6,12.6,11.75,11.95
2022-07-07,499000,12.05,12.3,11.85,12.15
2022-07-08,432000,12.3,12.65,12.25,12.55
2022-07-11,594000,12.7,13.15,12.7,13.1
2022-07-12,462000,13.0,13.0,12.55,12.55
2022-07-13,229000,12.7,12.9,12.7,12.85
2022-07-14,248000,12.8,12.95,12.6,12.9
2022-07-15,306000,12.95,12.95,12.7,12.8
2022-07-18,787000,13.05,13.6,12.95,13.5
2022-07-19,1203000,13.55,14.35,13.55,14.3
2022-07-20,1004000,14.55,14.75,14.45,14.45
2022-07-21,787000,14.45,14.95,14.3,14.95
